trip_id,stop_sequence,stop_id,arrival_time,departure_time
77154431,1,70059,06:51:00,06:51:00
77154431,10,70057,06:52:00,06:52:00
77154431,20,70055,06:54:00,06:54:00
77154431,30,70053,06:55:00,06:55:00
77154431,40,70051,06:57:00,06:57:00
77154431,50,70049,06:59:00,06:59:00
77154431,60,70047,07:01:00,07:01:00
77154431,70,70045,07:03:00,07:03:00
77154431,80,70043,07:06:00,07:06:00
77154431,90,70041,07:07:00,07:07:00
77154431,100,70039,07:09:00,07:09:00
77154431,110,70838,07:11:00,07:11:00
77154432,1,70038,07:16:00,07:16:00
77154432,10,70040,07:17:00,07:17:00
77154432,20,70042,07:18:00,07:18:00
77154432,30,70044,07:19:00,07:19:00
77154432,40,70046,07:22:00,07:22:00
77154432,50,70048,07:24:00,07:24:00
77154432,60,70050,07:26:00,07:26:00
77154432,70,70052,07:28:00,07:28:00
77154432,80,70054,07:29:00,07:29:00
77154432,90,70056,07:31:00,07:31:00
77154432,100,70058,07:33:00,07:33:00
77154432,110,70060,07:35:00,07:35:00
77154433,1,70059,07:43:00,07:43:00
77154433,10,70057,07:44:00,07:44:00
77154433,20,70055,07:46:00,07:46:00
77154433,30,70053,07:47:00,07:47:00
77154433,40,70051,07:49:00,07:49:00
77154433,50,70049,07:51:00,07:51:00
77154433,60,70047,07:53:00,07:53:00
77154433,70,70045,07:55:00,07:55:00
77154433,80,70043,07:58:00,07:58:00
77154433,90,70041,07:59:00,07:59:00
77154433,100,70039,08:01:00,08:01:00
77154433,110,70838,08:03:00,08:03:00
77154434,1,70038,08:08:00,08:08:00
77154434,10,70040,08:09:00,08:09:00
77154434,20,70042,08:10:00,08:10:00
77154434,30,70044,08:11:00,08:11:00
77154434,40,70046,08:14:00,08:14:00
77154434,50,70048,08:16:00,08:16:00
77154434,60,70050,08:18:00,08:18:00
77154434,70,70052,08:20:00,08:20:00
77154434,80,70054,08:21:00,08:21:00
77154434,90,70056,08:23:00,08:23:00
77154434,100,70058,08:25:00,08:25:00
77154434,110,70060,08:27:00,08:27:00
77154435,1,70059,08:35:00,08:35:00
77154435,10,70057,08:36:00,08:36:00
77154435,20,70055,08:38:00,08:38:00
77154435,30,70053,08:39:00,08:39:00
77154435,40,70051,08:41:00,08:41:00
77154435,50,70049,08:43:00,08:43:00
77154435,60,70047,08:45:00,08:45:00
77154435,70,70045,08:47:00,08:47:00
77154435,80,70043,08:50:00,08:50:00
77154435,90,70041,08:51:00,08:51:00
77154435,100,70039,08:53:00,08:53:00
77154435,110,70838,08:55:00,08:55:00
77154439,1,70059,06:55:00,06:55:00
77154439,10,70057,06:56:00,06:56:00
77154439,20,70055,06:58:00,06:58:00
77154439,30,70053,06:59:00,06:59:00
77154439,40,70051,07:01:00,07:01:00
77154439,50,70049,07:03:00,07:03:00
77154439,60,70047,07:05:00,07:05:00
77154439,70,70045,07:07:00,07:07:00
77154439,80,70043,07:10:00,07:10:00
77154439,90,70041,07:11:00,07:11:00
77154439,100,70039,07:13:00,07:13:00
77154439,110,70838,07:15:00,07:15:00
77154440,1,70038,07:20:00,07:20:00
77154440,10,70040,07:21:00,07:21:00
77154440,20,70042,07:22:00,07:22:00
77154440,30,70044,07:23:00,07:23:00
77154440,40,70046,07:26:00,07:26:00
77154440,50,70048,07:28:00,07:28:00
77154440,60,70050,07:30:00,07:30:00
77154440,70,70052,07:32:00,07:32:00
77154440,80,70054,07:33:00,07:33:00
77154440,90,70056,07:35:00,07:35:00
77154440,100,70058,07:37:00,07:37:00
77154440,110,70060,07:39:00,07:39:00
77154441,1,70059,07:47:00,07:47:00
77154441,10,70057,07:48:00,07:48:00
77154441,20,70055,07:50:00,07:50:00
77154441,30,70053,07:51:00,07:51:00
77154441,40,70051,07:53:00,07:53:00
77154441,50,70049,07:55:00,07:55:00
77154441,60,70047,07:57:00,07:57:00
77154441,70,70045,07:59:00,07:59:00
77154441,80,70043,08:02:00,08:02:00
77154441,90,70041,08:03:00,08:03:00
77154441,100,70039,08:05:00,08:05:00
77154441,110,70838,08:07:00,08:07:00
77154442,1,70038,08:12:00,08:12:00
77154442,10,70040,08:13:00,08:13:00
77154442,20,70042,08:14:00,08:14:00
77154442,30,70044,08:15:00,08:15:00
77154442,40,70046,08:18:00,08:18:00
77154442,50,70048,08:20:00,08:20:00
77154442,60,70050,08:22:00,08:22:00
77154442,70,70052,08:24:00,08:24:00
77154442,80,70054,08:25:00,08:25:00
77154442,90,70056,08:27:00,08:27:00
77154442,100,70058,08:29:00,08:29:00
77154442,110,70060,08:31:00,08:31:00
77154445,1,70059,06:59:00,06:59:00
77154445,10,70057,07:00:00,07:00:00
77154445,20,70055,07:02:00,07:02:00
77154445,30,70053,07:03:00,07:03:00
77154445,40,70051,07:05:00,07:05:00
77154445,50,70049,07:07:00,07:07:00
77154445,60,70047,07:09:00,07:09:00
77154445,70,70045,07:11:00,07:11:00
77154445,80,70043,07:14:00,07:14:00
77154445,90,70041,07:15:00,07:15:00
77154445,100,70039,07:17:00,07:17:00
77154445,110,70838,07:19:00,07:19:00
77154446,1,70038,07:24:00,07:24:00
77154446,10,70040,07:25:00,07:25:00
77154446,20,70042,07:26:00,07:26:00
77154446,30,70044,07:27:00,07:27:00
77154446,40,70046,07:30:00,07:30:00
77154446,50,70048,07:32:00,07:32:00
77154446,60,70050,07:34:00,07:34:00
77154446,70,70052,07:36:00,07:36:00
77154446,80,70054,07:37:00,07:37:00
77154446,90,70056,07:39:00,07:39:00
77154446,100,70058,07:41:00,07:41:00
77154446,110,70060,07:43:00,07:43:00
77154447,1,70059,07:51:00,07:51:00
77154447,10,70057,07:52:00,07:52:00
77154447,20,70055,07:54:00,07:54:00
77154447,30,70053,07:55:00,07:55:00
77154447,40,70051,07:57:00,07:57:00
77154447,50,70049,07:59:00,07:59:00
77154447,60,70047,08:01:00,08:01:00
77154447,70,70045,08:03:00,08:03:00
77154447,80,70043,08:06:00,08:06:00
77154447,90,70041,08:07:00,08:07:00
77154447,100,70039,08:09:00,08:09:00
77154447,110,70838,08:11:00,08:11:00
77154448,1,70038,08:16:00,08:16:00
77154448,10,70040,08:17:00,08:17:00
77154448,20,70042,08:18:00,08:18:00
77154448,30,70044,08:19:00,08:19:00
77154448,40,70046,08:22:00,08:22:00
77154448,50,70048,08:24:00,08:24:00
77154448,60,70050,08:26:00,08:26:00
77154448,70,70052,08:28:00,08:28:00
77154448,80,70054,08:29:00,08:29:00
77154448,90,70056,08:31:00,08:31:00
77154448,100,70058,08:33:00,08:33:00
77154448,110,70060,08:35:00,08:35:00
77154451,1,70059,07:04:00,07:04:00
77154451,10,70057,07:05:00,07:05:00
77154451,20,70055,07:07:00,07:07:00
77154451,30,70053,07:08:00,07:08:00
77154451,40,70051,07:10:00,07:10:00
77154451,50,70049,07:12:00,07:12:00
77154451,60,70047,07:14:00,07:14:00
77154451,70,70045,07:16:00,07:16:00
77154451,80,70043,07:19:00,07:19:00
77154451,90,70041,07:20:00,07:20:00
77154451,100,70039,07:22:00,07:22:00
77154451,110,70838,07:24:00,07:24:00
77154452,1,70038,07:29:00,07:29:00
77154452,10,70040,07:30:00,07:30:00
77154452,20,70042,07:31:00,07:31:00
77154452,30,70044,07:32:00,07:32:00
77154452,40,70046,07:35:00,07:35:00
77154452,50,70048,07:37:00,07:37:00
77154452,60,70050,07:39:00,07:39:00
77154452,70,70052,07:41:00,07:41:00
77154452,80,70054,07:42:00,07:42:00
77154452,90,70056,07:44:00,07:44:00
77154452,100,70058,07:46:00,07:46:00
77154452,110,70060,07:48:00,07:48:00
77154453,1,70059,07:56:00,07:56:00
77154453,10,70057,07:57:00,07:57:00
77154453,20,70055,07:59:00,07:59:00
77154453,30,70053,08:00:00,08:00:00
77154453,40,70051,08:02:00,08:02:00
77154453,50,70049,08:04:00,08:04:00
77154453,60,70047,08:06:00,08:06:00
77154453,70,70045,08:08:00,08:08:00
77154453,80,70043,08:11:00,08:11:00
77154453,90,70041,08:12:00,08:12:00
77154453,100,70039,08:14:00,08:14:00
77154453,110,70838,08:16:00,08:16:00
77154454,1,70038,08:21:00,08:21:00
77154454,10,70040,08:22:00,08:22:00
77154454,20,70042,08:23:00,08:23:00
77154454,30,70044,08:24:00,08:24:00
77154454,40,70046,08:27:00,08:27:00
77154454,50,70048,08:29:00,08:29:00
77154454,60,70050,08:31:00,08:31:00
77154454,70,70052,08:33:00,08:33:00
77154454,80,70054,08:34:00,08:34:00
77154454,90,70056,08:36:00,08:36:00
77154454,100,70058,08:38:00,08:38:00
77154454,110,70060,08:40:00,08:40:00
77154456,1,70038,06:41:00,06:41:00
77154456,10,70040,06:42:00,06:42:00
77154456,20,70042,06:43:00,06:43:00
77154456,30,70044,06:44:00,06:44:00
77154456,40,70046,06:47:00,06:47:00
77154456,50,70048,06:49:00,06:49:00
77154456,60,70050,06:51:00,06:51:00
77154456,70,70052,06:53:00,06:53:00
77154456,80,70054,06:54:00,06:54:00
77154456,90,70056,06:56:00,06:56:00
77154456,100,70058,06:58:00,06:58:00
77154456,110,70060,07:00:00,07:00:00
77154457,1,70059,07:08:00,07:08:00
77154457,10,70057,07:09:00,07:09:00
77154457,20,70055,07:11:00,07:11:00
77154457,30,70053,07:12:00,07:12:00
77154457,40,70051,07:14:00,07:14:00
77154457,50,70049,07:16:00,07:16:00
77154457,60,70047,07:18:00,07:18:00
77154457,70,70045,07:20:00,07:20:00
77154457,80,70043,07:23:00,07:23:00
77154457,90,70041,07:24:00,07:24:00
77154457,100,70039,07:26:00,07:26:00
77154457,110,70838,07:28:00,07:28:00
77154458,1,70038,07:33:00,07:33:00
77154458,10,70040,07:34:00,07:34:00
77154458,20,70042,07:35:00,07:35:00
77154458,30,70044,07:36:00,07:36:00
77154458,40,70046,07:39:00,07:39:00
77154458,50,70048,07:41:00,07:41:00
77154458,60,70050,07:43:00,07:43:00
77154458,70,70052,07:45:00,07:45:00
77154458,80,70054,07:46:00,07:46:00
77154458,90,70056,07:48:00,07:48:00
77154458,100,70058,07:50:00,07:50:00
77154458,110,70060,07:52:00,07:52:00
77154459,1,70059,08:00:00,08:00:00
77154459,10,70057,08:01:00,08:01:00
